,movie_title,cluster_KMeans,tsne-2d-one,tsne-2d-two
0,Avatar,3,-11.587348,-3.4838688
1,Pirates of the Caribbean: At World's End,3,-10.459515,-1.7398616
2,Spectre,13,-6.741592,-4.8532724
3,The Dark Knight Rises,13,-4.5236816,-7.8039684
5,John Carter,3,-12.769274,-5.6224227
6,Spider-Man 3,3,-8.950572,-2.5264812
8,Avengers: Age of Ultron,3,-11.742708,-5.050488
9,Harry Potter and the Half-Blood Prince,5,-12.665674,0.12062194
10,Batman v Superman: Dawn of Justice,3,-12.343157,-4.583177
11,Superman Returns,3,-12.344862,-4.583815
12,Quantum of Solace,3,-8.1411085,-3.2885091
13,Pirates of the Caribbean: Dead Man's Chest,3,-10.401976,-1.7431799
14,The Lone Ranger,3,-8.053091,-2.072205
15,Man of Steel,3,-13.047251,-6.8903008
16,The Chronicles of Narnia: Prince Caspian,3,-11.744598,-0.99929255
17,The Avengers,3,-12.973667,-5.7937613
18,Pirates of the Caribbean: On Stranger Tides,3,-10.430545,-1.7890267
20,The Hobbit: The Battle of the Five Armies,5,-11.263151,-0.092221454
21,The Amazing Spider-Man,3,-10.401993,-1.7436149
22,Robin Hood,4,1.2412505,-1.8106611
23,The Hobbit: The Desolation of Smaug,5,-11.263435,-0.091305666
24,The Golden Compass,5,-12.5592785,0.76578474
25,King Kong,4,0.73598576,-1.1492038
26,Titanic,2,10.84524,9.876308
27,Captain America: Civil War,3,-12.340614,-4.5810986
28,Battleship,3,-10.793459,-7.5570397
29,Jurassic World,3,-10.792905,-7.5570474
30,Skyfall,13,-6.7406654,-4.8525066
31,Spider-Man 2,3,-10.23607,-2.1708188
32,Iron Man 3,3,-12.345787,-4.5829043
33,Alice in Wonderland,5,-12.570227,0.655084
34,X-Men: The Last Stand,3,-12.740281,-7.4630184
35,Monsters University,5,-14.071789,3.0655446
36,Transformers: Revenge of the Fallen,3,-12.340327,-4.581075
37,Transformers: Age of Extinction,3,-12.339874,-4.5806932
38,Oz the Great and Powerful,5,-12.626505,0.6378615
39,The Amazing Spider-Man 2,3,-11.589307,-3.3108299
40,TRON: Legacy,3,-12.556126,-4.489562
41,Cars 2,5,-14.35084,5.3331766
42,Green Lantern,3,-12.339662,-4.5806155
43,Toy Story 3,5,-14.284257,3.0023565
44,Terminator Salvation,3,-12.759895,-4.535187
45,Furious 7,13,-1.4717907,-7.5676656
46,World War Z,3,-9.953192,-8.581588
47,X-Men: Days of Future Past,3,-12.190916,-7.604845
48,Star Trek Into Darkness,3,-12.339597,-4.5806837
49,Jack the Giant Slayer,5,-11.263435,-0.09100385
50,The Great Gatsby,2,12.060336,7.02179
51,Prince of Persia: The Sands of Time,3,-10.180843,-2.08257
52,Pacific Rim,3,-12.338942,-4.5804462
53,Transformers: Dark of the Moon,3,-12.339172,-4.5806284
54,Indiana Jones and the Kingdom of the Crystal Skull,3,-10.400039,-1.744231
56,Brave,5,-14.070766,3.0656743
57,Star Trek Beyond,3,-10.792993,-7.5558696
58,WALL·E,5,-15.339679,1.4583014
59,Rush Hour 3,9,-2.9183183,-3.1356406
60,2012,3,-12.339644,-4.5813427
61,A Christmas Carol,5,-14.325117,1.2386242
62,Jupiter Ascending,3,-12.339494,-4.581439
63,The Legend of Tarzan,4,0.7509866,-1.1048027
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",5,-12.569552,0.6552146
65,X-Men: Apocalypse,3,-12.339323,-4.581773
66,The Dark Knight,1,1.1319821,-9.842406
67,Up,5,-14.74492,4.9851513
69,Iron Man,3,-12.57777,-4.4708004
70,Hugo,14,2.5841727,1.2576609
71,Wild Wild West,9,-8.201867,0.25368908
72,The Mummy: Tomb of the Dragon Emperor,3,-8.106043,-5.0456176
73,Suicide Squad,3,-13.097299,-3.18077
74,Evan Almighty,5,-10.699747,7.032975
75,Edge of Tomorrow,3,-12.769104,-5.622535
76,Waterworld,3,-10.791944,-7.555698
77,G.I. Joe: The Rise of Cobra,3,-10.792168,-7.556058
79,The Jungle Book,5,-12.456928,1.0606967
80,Iron Man 2,3,-12.380119,-4.623118
81,Snow White and the Huntsman,3,-9.782584,-1.3800409
82,Maleficent,3,-11.64144,-1.0418835
83,Dawn of the Planet of the Apes,3,-12.540467,-4.2563405
85,47 Ronin,3,-9.782606,-1.3800008
86,Captain America: The Winter Soldier,3,-12.339025,-4.581174
87,Shrek Forever After,5,-14.144104,2.9792442
88,Tomorrowland,3,-13.508136,-4.0772924
90,Wreck-It Ralph,5,-13.922666,5.0936246
91,The Polar Express,5,-14.080393,1.5758499
92,Independence Day: Resurgence,3,-12.97366,-5.7938013
93,How to Train Your Dragon,5,-14.146797,1.5966781
94,Terminator 3: Rise of the Machines,3,-10.100353,-4.9811764
95,Guardians of the Galaxy,3,-12.338703,-4.5808144
96,Interstellar,14,2.9085505,0.23549882
97,Inception,3,-10.79157,-7.555052
100,The Fast and the Furious,13,-2.3717067,-6.7477455
101,The Curious Case of Benjamin Button,2,9.160207,7.528854
102,X-Men: First Class,3,-11.741635,-5.0489035
103,The Hunger Games: Mockingjay - Part 2,3,-13.120489,-4.552996
104,The Sorcerer's Apprentice,3,-11.579428,-1.1168005
105,Poseidon,4,-0.17397347,-3.3519301
106,Alice Through the Looking Glass,5,-12.569669,0.6548592
107,Shrek the Third,5,-14.070943,3.0655034
108,Warcraft,3,-10.399736,-1.7441142
109,Terminator Genisys,3,-12.338351,-4.58089
110,The Chronicles of Narnia: The Voyage of the Dawn Treader,5,-12.5695095,0.6551717
111,Pearl Harbor,10,9.621609,-2.2282324
112,Transformers,3,-12.769287,-5.622856
114,Harry Potter and the Order of the Phoenix,5,-12.729695,0.13608673
115,Harry Potter and the Goblet of Fire,5,-12.621542,0.2237842
116,Hancock,4,4.082235,-2.1688383
117,I Am Legend,14,2.9046,-0.6761336
118,Charlie and the Chocolate Factory,5,-12.147047,2.7510953
119,Ratatouille,5,-12.190293,6.3815985
120,Batman Begins,3,-8.1267395,-3.2368279
121,Madagascar: Escape 2 Africa,5,-15.201984,5.778637
122,Night at the Museum: Battle of the Smithsonian,5,-12.147094,2.7509742
123,X-Men Origins: Wolverine,3,-12.189442,-7.6039057
124,The Matrix Revolutions,3,-10.052179,-5.0200005
126,The Matrix Reloaded,3,-10.099864,-4.9819474
127,Thor: The Dark World,3,-10.400856,-1.7444702
128,Mad Max: Fury Road,3,-10.865899,-6.999461
129,Angels & Demons,1,0.6470608,-14.725274
130,Thor,3,-10.324036,-1.7723085
